Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,5,3085.0,1910,1531,35
Existing Customer,53,M,2,High School,Single,$120K +,Blue,4,19040.0,2056,1212,31
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,5,4026.0,0,1237,32
Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,4,12756.0,837,1413,14
Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,5,5266.0,0,1516,29
Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,3,9930.0,0,1276,21
Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,4,31302.0,1953,1564,35
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,4,6576.0,0,1465,34
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,5,2664.0,2037,1286,29
Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,5,2535.0,2440,1312,20
Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,6,1709.0,895,1673,32
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,5,3454.0,1200,1313,30
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,5,3789.0,1706,1609,42
Existing Customer,56,M,3,College,Married,$120K +,Blue,3,9689.0,2250,1158,19
Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,2,5449.0,1628,836,18
Existing Customer,49,F,3,College,Single,Unknown,Blue,4,23032.0,1960,1289,22
Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,5,34516.0,2053,1487,26
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,6,2940.0,1264,1259,33
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,3,3031.0,1879,1298,15
Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,3,1862.0,0,1226,34
Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,2,8358.0,926,1566,37
Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,6,34516.0,931,1022,21
Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,5,14450.0,2440,1235,30
Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,6,1438.3,0,1951,44
Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,6,33791.0,1960,1047,31
Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,4,8466.0,1886,1342,32
Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,5,15088.0,865,1107,21
Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,5,3263.0,1674,1251,35
Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,2,1494.0,706,1305,24
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,6,13551.0,1294,1388,37
Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,6,18886.0,895,1235,18
Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,3,11976.0,1273,2089,36
Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,4,9964.0,1559,1626,25
Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,4,24159.0,1196,1111,24
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,3,5362.0,1901,1553,38
Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,3,34516.0,1023,1064,13
Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,4,3174.0,1951,1243,29
Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,3,12262.0,1836,1659,38
Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,4,3788.0,1540,1594,47
Existing Customer,55,M,2,College,Single,$120K +,Silver,2,34516.0,1527,1268,42
Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,4,2926.0,0,1304,24
Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,6,32090.0,0,1368,30
Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,3,11669.0,2227,720,23
Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,3,13532.0,1300,1521,29
Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,4,11888.0,2090,1137,30
Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,5,2393.0,1985,978,16
Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,5,6111.0,2517,1221,16
Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,3,19270.0,1662,1565,28
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,3,3710.0,2517,1578,34
Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,2,3235.0,797,1493,32
Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,3,11749.0,788,1178,27
Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,5,7753.0,2100,991,26
Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,5,10408.0,1186,2560,42
Existing Customer,63,F,1,College,Married,Unknown,Blue,6,3967.0,1568,1657,29
Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,4,6205.0,2517,1204,19
Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,1,8025.0,0,673,18
Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,6,9036.0,2327,1131,18
Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,2,14926.0,2517,1576,25
Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,3,6335.0,1128,1217,20
Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,2,14979.0,0,530,10
Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,3,2732.0,0,739,16
Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,6,2250.0,2117,1617,31
Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,3,10916.0,1536,1592,34
Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,4,5349.0,1228,1343,30
Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,4,9366.0,1104,1303,39
Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,5,21617.0,0,1351,22
Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,5,13860.0,1652,1910,32
Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,2,18386.0,0,1298,22
Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,6,2405.0,1540,1087,29
Existing Customer,53,F,1,College,Married,Less than $40K,Blue,4,2154.0,930,1439,26
Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,3,2038.0,0,1238,28
Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,6,8135.0,0,1716,29
Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,6,9364.0,618,1099,27
Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,4,32643.0,0,1058,24
Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,2,3195.0,1954,1285,29
Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,5,2852.0,1024,1651,28
Existing Customer,59,F,1,College,Single,Unknown,Blue,2,4224.0,1305,1152,31
Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,3,20459.0,2071,1767,38
Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,6,3482.0,2114,1039,24
Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,5,3065.0,1570,1130,28
Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,3,2185.0,1761,1645,30
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,4,1611.0,746,1413,29
Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,3,2822.0,2173,1218,23
Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,6,32975.0,2517,597,17
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,5,1438.3,0,2184,53
Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,4,15875.0,1719,1592,37
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,6,6703.0,893,1388,28
Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,2,3212.0,0,757,20
Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,3,34516.0,1260,1504,34
Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,4,9797.0,1434,1503,34
Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,5,10400.0,1777,1105,28
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,2,26792.0,1836,2398,47
Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,4,3006.0,2517,1661,32
Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,6,19482.0,1072,1421,22
Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,4,3356.0,985,999,28
Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,3,5771.0,2248,1387,18
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,6,11106.0,2107,1243,24
Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,5,2890.0,2001,1860,36
Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,6,3380.0,1701,1502,25
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,2,21331.0,1251,1460,50
Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,6,12860.0,0,1348,27
Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,3,6278.0,462,1087,33
Existing Customer,60,F,0,College,Single,Less than $40K,Blue,5,1438.3,738,1226,33
Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,5,9355.0,1626,1230,28
Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,6,20758.0,0,1555,32
Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,5,14612.0,1976,1827,24
Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,5,27259.0,0,1376,35
Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,4,6347.0,1594,1771,37
Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,3,21592.0,1676,1873,52
Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,5,3449.0,1598,1679,42
Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,2,6028.0,799,1002,22
Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,3,18214.0,1998,1344,21
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,3,16393.0,1423,1461,42
Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,1,1438.3,900,760,21
Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,4,7871.0,1687,1428,22
Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,5,5288.0,866,1777,42
Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,4,11376.0,2006,1302,27
Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,4,12302.0,1632,1483,41
Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,3,34516.0,1679,1060,27
Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,4,34516.0,1468,1330,32
Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,3,10514.0,1580,1229,27
Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,2,1438.3,0,886,27
Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,3,1438.3,0,844,24
Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,2,2619.0,1779,1450,37
Existing Customer,58,M,2,College,Married,$120K +,Blue,2,24407.0,2395,2311,48
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,4,2377.0,1649,1378,26
Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,3,34516.0,1359,1033,26
Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,5,11086.0,2207,1523,40
Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,4,11432.0,2517,1374,37
Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,5,13258.0,1721,1080,21
Existing Customer,48,M,2,College,Single,Less than $40K,Blue,3,2571.0,1955,1234,24
Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,5,5781.0,1168,1600,32
Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,5,7872.0,2509,1155,32
Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,6,34516.0,1202,1353,33
Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,4,11127.0,1835,1546,25
Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,2,1857.0,1603,1590,43
Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,5,1913.0,1272,1448,22
Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,5,3839.0,2295,1271,24
Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,6,2115.0,1141,1223,20
Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,5,1438.3,679,1117,29
Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,4,27756.0,1789,994,24
Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,4,1438.3,0,1468,26
Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,6,13878.0,2222,1658,38
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,3,3106.0,1304,1368,38
Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,4,34516.0,1666,1218,18
Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,4,1438.3,1025,702,12
Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,2,18871.0,1740,1516,21
Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,5,5207.0,1748,1310,26
Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,6,17965.0,1644,1767,50
Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,6,2733.0,1819,933,25
Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,4,8863.0,1301,1512,27
Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,2,1857.0,1833,829,17
Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,3,34516.0,0,1120,27
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,5,11107.0,1222,1506,33
Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,4,21573.0,1585,1384,36
Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,2,2859.0,2517,817,30
Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,4,5269.0,1475,2094,25
Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,2,1438.3,0,815,21
Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,1,3387.0,0,510,24
Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,6,1982.0,1289,1377,49
Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,2,4645.0,1650,1193,33
Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,6,2189.0,1666,1287,36
Attrited Customer,46,M,4,High School,Married,$120K +,Blue,3,2442.0,0,701,19
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,4,21304.0,1532,1770,25
Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,5,7577.0,2480,1409,35
Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,4,3234.0,1486,1354,28
Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,5,4469.0,1125,1765,34
Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,6,2910.0,709,1192,27
Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,2,3616.0,1054,687,17
Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,3,3252.0,1495,1227,15
Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,4,2358.0,1152,1737,26
Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,4,22322.0,953,1348,34
Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,4,3133.0,1510,1435,38
Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,2,3540.0,849,1321,28
Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,6,6990.0,1378,1479,29
Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,2,34516.0,1652,1283,39
Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,1,1438.3,0,689,23
Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue,6,24396.0,1171,965,17
Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,2,2474.0,2143,1541,40
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,5,5214.0,795,1258,23
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,5,5207.0,1650,1339,20
Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue,2,9512.0,1082,1007,22
Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,6,3187.0,2430,1387,33
Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,1,3353.0,0,960,18
Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,3,2290.0,1434,1119,18
Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,6,5279.0,1115,1642,41
Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,5,23603.0,0,1382,31
Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,6,2601.0,0,1232,32
Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,4,6363.0,1029,1542,16
Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,4,8029.0,1576,1094,32
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,2,2410.0,1769,1217,30
Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,1,3401.0,0,744,18
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,4,2260.0,1007,1614,33
Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,5,17682.0,2481,1747,31
Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,3,4206.0,1100,1144,22
Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,4,34516.0,1440,1575,34
Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,4,23018.0,2168,1463,24
Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,5,5556.0,1711,1706,21
Attrited Customer,54,F,2,High School,Married,Unknown,Blue,3,6094.0,0,909,14
Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,3,2939.0,1999,2434,33
Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,2,5362.0,1274,1876,41
Attrited Customer,48,M,2,High School,Married,$120K +,Blue,3,27126.0,0,1000,25
Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,6,3342.0,2517,1139,30
Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,6,2532.0,2221,799,21
Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,2,1900.0,1376,1881,45
Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,2,14546.0,1703,1273,27
Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,2,2521.0,1608,1328,33
Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,3,16427.0,1682,1579,36
Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,5,13068.0,1718,937,28
